True_Data,Predicted_Data,True_Data_origin,Predicted_Data_origin
0.040873893,0.034011163,130.27000174203943,120.27835138493275
0.04583979,0.03399671,137.4999983406614,120.25730719679598
0.04391662,0.033961304,134.69999860018518,120.20575978338053
0.046664003,0.034010585,138.69999435532273,120.27751070215925
0.039252937,0.0340171,127.91000451769625,120.28699685810028
0.04059915,0.03401168,129.86999403088592,120.27910528754899
0.03579123,0.0340366,122.87000281533517,120.31538481704561
0.040791467,0.033989433,130.1499956320615,120.2467145938498
0.035653856,0.034002017,122.66999624787852,120.2650360545524
0.043188564,0.033995382,133.64000067423171,120.25537633829683
0.039685644,0.033985592,128.53999591688168,120.24112269746604
0.0467533,0.03402472,138.83000187842546,120.29808844695073
0.039843626,0.034016266,128.77000672371273,120.28578193589857
0.045448285,0.033995487,136.92999372518545,120.25552820357204
0.03573628,0.03399777,122.79000235785644,120.25885296834726
0.045455158,0.03403884,136.94000056207008,120.31864992046272
0.042838275,0.033999197,133.13000453750456,120.26093026836179
0.044857606,0.03403424,136.07000779044847,120.31195157707381
0.03355898,0.034037884,119.62000456936097,120.31725601418664
0.040454917,0.033993527,129.66000232158393,120.25267530590195
0.03975433,0.03400962,128.63999920061,120.27610594836352
0.03562638,0.034015503,122.62999601913914,120.28467006513361
0.046004638,0.03399432,137.7400051368574,120.25383056674553
0.041547,0.033996973,131.24999921051415,120.25769228374384
0.037769344,0.034023307,125.74999758953028,120.2960328419755
0.038401242,0.03410948,126.66999742677588,120.42149525434148
0.046609055,0.033968594,138.619993897844,120.21637408136601
0.04292756,0.0339751,133.2599957893278,120.22584396602755
0.045249104,0.03398833,136.64000155840475,120.2451091609404
0.041004397,0.033990264,130.46000689637128,120.24792409229168
0.036608573,0.034011893,124.05999741687172,120.27941444185925
0.042955037,0.034040857,133.30000144182702,120.32158417453024
0.041691244,0.034015287,131.46000719109563,120.28435548706352
0.0340329,0.033969518,120.30999902353535,120.21771917380362
0.037735,0.03398894,125.69999594766611,120.24599865755236
0.034561772,0.033963777,121.0799993589483,120.20936115990702
0.041162368,0.03401529,130.69000143192287,120.28436091082335
0.047213484,0.03399428,139.49999893011008,120.25377090538743
0.042330004,0.03396109,132.38999759394636,120.20545062907027
0.033194944,0.034044128,119.08999475886458,120.32634623566017
0.042893223,0.033994514,133.2100049949833,120.25411260225665
0.040942572,0.03399904,130.36999417824808,120.26070247044896
0.035894252,0.034046385,123.01999689340802,120.32963303411658
0.043477036,0.0340408,134.05999494035532,120.3215028181328
0.03680776,0.034052115,124.35000043117209,120.33797477673369
0.037460268,0.034005273,125.3000045077921,120.269776420643
0.04233687,0.03395112,132.39999358331133,120.19093122400785
0.044418015,0.033987124,135.42999328309892,120.24335186275579
0.041917894,0.033936124,131.78999416285586,120.16910059069586
0.042755846,0.03395629,133.00999300376682,120.1984594026506
0.041959114,0.033999164,131.85000806536448,120.26088145452333
0.04047552,0.03397232,129.69000113719852,120.22179784119507
0.0322471,0.033980723,117.710000426756,120.23403384336945
0.036828365,0.034010727,124.37999924678667,120.27771680503275
0.035729412,0.033971913,122.78000094473164,120.2212066513737
0.034685407,0.034031678,121.26000310015536,120.30822003031142
0.046581585,0.033981163,138.57999909286445,120.23467384702927
0.040310673,0.033998694,129.44999434100248,120.26019806078486
0.045297187,0.03403979,136.7100060265185,120.32003297921914
0.04112116,0.03398654,130.63000380069371,120.24250033246263
0.03713745,0.034028746,124.8300031760445,120.30395153132595
0.040976916,0.034071404,130.41999582011226,120.36605900512859
0.04296878,0.03395898,133.32000969183645,120.20237535724718
0.047639325,0.03399151,140.1199943399305,120.24973562807459
0.04007715,0.034032036,129.11000053235762,120.30874071125501
0.04198658,0.034019303,131.8899974465842,120.29020230015927
0.039390303,0.03399099,128.11000023763327,120.24898172545835
0.039713122,0.034066275,128.58000156938087,120.35859048784397
0.045736767,0.033997994,137.35000426258856,120.259178393937
0.040832683,0.033989206,130.21000411081027,120.24638374450024
0.040805206,0.033995394,130.16999845831108,120.2553926095763
0.046842594,0.03403537,138.9600094015282,120.31359497630203
0.046334323,0.033982366,138.22000245797,120.23642572145407
0.036622312,0.03405581,124.08000024312132,120.34335514648411
0.047893465,0.034004185,140.49000323546943,120.2681926827729
0.034458745,0.034036465,120.92999985711563,120.31518956169177
0.03420461,0.033998758,120.55999638533653,120.26029026470196
0.04621756,0.03396362,138.05000555364757,120.2091333619942
0.041952237,0.034030963,131.83999580472005,120.30717866842424
0.04338088,0.034009315,133.91999685164745,120.27566120005753
0.039019406,0.03402249,127.56999986153173,120.29484503857294
0.03448622,0.033994194,120.97000008585499,120.25364615891135
0.045070525,0.03401665,136.38000278347877,120.28634058316096
0.042824537,0.033999033,133.11000171125497,120.26069162292931
0.041849215,0.03397171,131.69000172664718,120.22090834458311
0.045633737,0.034022115,137.19999933699606,120.29429723883021
0.041622553,0.03400562,131.35999848360746,120.2702808303071
0.03618273,0.03405959,123.44000200705128,120.34886026271062
0.033826847,0.033998992,120.01000001987002,120.26063196157119
0.04494689,0.03401049,136.1999990422717,120.2773696844037
0.046114527,0.034002237,137.89999520429524,120.2653560563823
0.036464337,0.034099445,123.85000028380992,120.40688364536197
0.03686271,0.03404632,124.43000088865082,120.32953540643965
0.047756087,0.033970267,140.28999124425295,120.21880934952925
0.036478076,0.033994842,123.87000311005951,120.2545898931216
0.046128266,0.034028042,137.91999803054483,120.30292644071825
0.0421789,0.033986963,132.16999904775977,120.24311864108313
0.046863195,0.03398783,138.99000279338293,120.2443823771233
0.03167015,0.03399929,116.87000104698912,120.26106586235751
0.044994973,0.03399784,136.27000351038546,120.25895601978401
0.033916134,0.03397424,120.13999669545309,120.22459650126687
0.041670628,0.03395321,131.42999210420157,120.19397395327196
0.046609055,0.034016382,138.619993897844,120.28595007245328
0.047570646,0.033966076,140.02000190372183,120.21270761972156
0.04685632,0.034018606,138.9799959564983,120.28918805707123
0.04423944,0.03398135,135.1699999319328,120.23494503502073
0.048236888,0.033944942,140.99000338283162,120.18193863021126
0.041684367,0.03399757,131.44999493045117,120.25856008531649
0.03511125,0.03402798,121.8799985099758,120.30283423680116
0.04531779,0.03404905,136.74000484213306,120.33351102239436
0.04194537,0.03400525,131.82999981535505,120.26974387808403
0.042020928,0.03400402,131.9400045122082,120.26795403734043
0.03314,0.033993263,119.00999972514568,120.25229021895409
0.047007427,0.033999126,139.19999450268492,120.26082721692504
0.043841064,0.033994623,134.58999390333207,120.2542698912917
0.04706238,0.03398163,139.28000038392346,120.23535181700791
0.044459235,0.03398902,135.49000718560757,120.24611255650878
0.04638927,0.03403823,138.30000291544872,120.31776042385074
0.03729542,0.03399018,125.05999771159607,120.24779934581562
0.035839308,0.033980895,122.9400018596891,120.23428333632158
0.03995351,0.03396082,128.9299913673907,120.20505469460274
0.046684608,0.034000747,138.7299931709373,120.26318655245068
0.03349716,0.034007624,119.52999727499761,120.27319881309514
0.036155257,0.03403283,123.40000177831192,120.3098959720986
0.046492293,0.033967946,138.44999699352155,120.21543034715575
0.04480266,0.034022257,135.99000733296972,120.29450334170372
0.044376805,0.03397491,135.3699956518698,120.22556735427628
0.045359,0.03401964,136.8000024733622,120.2906958623037
0.045084257,0.033983994,136.3999947622087,120.23879590449937
0.03779682,0.03401969,125.79000324202947,120.29076637118149
0.048724543,0.03399038,141.69999523949576,120.24809222884639
